,StepTotal,StepTotal.1,StepTotal.2,StepTotal.3,StepTotal.4,StepTotal.5,StepTotal.6,StepTotal.7,StepTotal.8,StepTotal.9,StepTotal.10,StepTotal.11,StepTotal.12,StepTotal.13,StepTotal.14,StepTotal.15,StepTotal.16,StepTotal.17,StepTotal.18,StepTotal.19,StepTotal.20,StepTotal.21,StepTotal.22,StepTotal.23,StepTotal.24,StepTotal.25,StepTotal.26,StepTotal.27,StepTotal.28,StepTotal.29,StepTotal.30
38,12629.0,8658.0,9261.0,10112.0,7429.0,12836.0,20557.0,1745.0,4526.0,3249.0,6433.0,6913.0,4790.0,3367.0,3384.0,2406.0,12053.0,4297.0,4199.0,4822.0,8650.0,9176.0,7027.0,10915.0,12772.0,5912.0,27302.0,11585.0,16913.0,21312.0,9668.0
39,21252.0,21344.0,11339.0,6447.0,16952.0,5883.0,2238.0,11553.0,7534.0,2542.0,4338.0,6166.0,3855.0,5963.0,5298.0,4374.0,13512.0,9527.0,12193.0,7397.0,14319.0,18234.0,8786.0,15562.0,21784.0,13208.0,9212.0,8919.0,6013.0,9515.0,7032.0
40,18817.0,7792.0,19090.0,5735.0,4757.0,16296.0,14966.0,18026.0,11488.0,23763.0,8229.0,15942.0,18637.0,9592.0,2110.0,12977.0,15563.0,6309.0,15956.0,7818.0,5542.0,11492.0,8493.0,2603.0,7810.0,6922.0,11484.0,11739.0,21953.0,3737.0,6507.0
41,18827.0,5681.0,10716.0,9361.0,14321.0,4488.0,11700.0,12428.0,8179.0,7716.0,9163.0,3494.0,12164.0,9551.0,24480.0,14447.0,8122.0,9678.0,8370.0,3756.0,18588.0,9726.0,5700.0,10379.0,8572.0,7466.0,14018.0,14038.0,15964.0,9888.0,7220.0
42,10831.0,11103.0,1893.0,10380.0,12036.0,13131.0,7407.0,7841.0,6426.0,4502.0,12203.0,5458.0,7674.0,7097.0,5602.0,4134.0,5296.0,4914.0,8234.0,193.0,455.0,3013.0,6833.0,1843.0,12357.0,5122.0,4458.0,5642.0,4365.0,7073.0,3226.0
43,6397.0,4090.0,6669.0,7663.0,2940.0,4578.0,1689.0,4386.0,3526.0,6403.0,4330.0,3512.0,4456.0,3452.0,4436.0,2958.0,10209.0,3539.0,3095.0,3049.0,3798.0,3311.0,5500.0,3581.0,4380.0,4537.0,3653.0,2442.0,2604.0,15466.0,9304.0
44,5654.0,4006.0,4982.0,3183.0,5324.0,6551.0,4399.0,4203.0,5729.0,1419.0,4262.0,3397.0,5812.0,4431.0,8057.0,2469.0,7556.0,3698.0,4239.0,5814.0,15508.0,4409.0,4160.0,6518.0,4173.0,2967.0,2948.0,6407.0,5403.0,3606.0,5195.0
45,2004.0,6042.0,6331.0,4284.0,6505.0,5833.0,3650.0,2543.0,3305.0,5030.0,2302.0,5701.0,5455.0,4606.0,4328.0,2566.0,3611.0,3787.0,3122.0,4101.0,2224.0,2393.0,2325.0,3669.0,7059.0,6950.0,5164.0,3626.0,3494.0,1013.0,5058.0
46,2649.0,3576.0,2323.0,3648.0,2736.0,6126.0,8503.0,933.0,4457.0,1930.0,5414.0,9271.0,6773.0,8991.0,4243.0,5189.0,7233.0,9046.0,6418.0,3968.0,3682.0,3630.0,5272.0,4129.0,7173.0,2051.0,3801.0,2672.0,3596.0,3976.0,3682.0
47,9088.0,4478.0,7969.0,11539.0,4286.0,4753.0,5085.0,6081.0,5576.0,2291.0,2633.0,2715.0,2823.0,9667.0,8278.0,3010.0,2529.0,2032.0,3608.0,10385.0,2165.0,3803.0,16436.0,3978.0,6385.0,1827.0,4682.0,1796.0,6594.0,6165.0,8854.0
